pointID,name,transliteration,english,pinyin,korean,romaji,vietnamese,alternative
ST-40,豐隆,Fenglong,Abundant Bulge,fēng lóng,pung nyung 풍륭,hō ryū,Phong long,
ST-41,解谿,Jiexi,Stream Divide,jiě xī,hae gye 해계,kai kei,Giải khê,
ST-42,沖陽,Chongyang,Rushing Yang,chōng yáng,chung yang 충양,shō yō,Xung dương,
ST-43,陷谷,Xiangu,Sunken Valley,xiàn gǔ,ham gok 함곡,kan koku(?),Hãm cốc,
ST-44,内庭,Neiting,Inner Courtyard,nèi tíng,nae jeong 내정,nai tei(?),Nội đình,
ST-45,厲兌,Lidui,Strict Exchange,lì duì,ye tae 예태,rei da,Lệ đoài,
SP-1,隱白,Yinbai,Hidden White,yǐn bái,eun baek 은백,im paku,Ẩn bạch,'in paku'[7]
SP-2,大都,Dadu,Great Metropolis,dà dū,dae do 대도,dai to,Đại đô,
SP-3,太白,Taibai,Supreme White,taì bái,tae baek 태백,tai haku,Thái bạch,
SP-4,公孫,Gongsun,Grandfather Grandson,gōng sūn,gong son 공손,kō son,Công tôn,
SP-5,商丘,Shangqiu,Shang Mound,shāng qiū,sang gu 상구,shō kyū,Thương khâu,
SP-6,三陰交,Sanyinjiao,Three Yin Intersection,sān yīn jiāo,sam eum gyo 삼음교,san in kō,Tam âm giao,
SP-7,漏谷,Lougu,Dripping Valley,loù gǔ,nu gok 루곡,rō koku?,Lậu cốc,
SP-8,地機,Diji,Earth Pivot,dì jī,ji gi 지기,chi ki,Địa cơ,
SP-9,陰陵泉,Yinlingquan,Yin Mound Spring,yīn líng qúan,eum neung cheon 음릉천,in ryō sen,Âm lăng tuyền,
SP-10,血海,Xuehai,Sea of Blood,xuè hǎi,hyeol hae 혈해,kek kai,Huyết hải,
SP-11,箕門,Jimen,Winnowing Gate,jī mén,gi mun 기문,ki mon,Kỳ môn,
SP-12,沖門,Chongmen,Rushing Gate,chōng mén,chung mun 충문,shō mon,Xung môn,
SP-13,府舍,Fushe,Abode of the Fu,fǔ shè,bu sa 부사,fu sha,Phủ xá,
SP-14,腹結,Fujie,Abdomen Knot,fù jié,bok gyeol 복결,fuk ketsu,Phúc kết,
SP-15,大横,Da heng,Great Horizontal,dà héng,dae hoeng 대횡,dai ō,Đại hoành,
SP-16,腹哀,Fuai,Abdomen Sorrow,fù āi,bok ae 복애,fuku ai,Phúc ai,
SP-17,食竇,Shidou,Food Cavity,shí dòu,sik du 식두,shoku tō,Thực đậu,
SP-18,天谿,Tianxi,Heavenly Stream,tiān xī,cheon gye 천계,ten kei,Thiên khê,
SP-19,胸鄉,Xiongxiang,Chest Village,xiōng xiāng,hyung hyang 흉향,kyō kyō?,Hung hương,
SP-20,周榮,Zhourong,Encircling Glory,zhōu róng,ju yeong 주영,shū ei,Chu vinh,
SP-21,大包,Dabao,Great Wrapping,dà bāo,dae po 대포,tai hō,Đại bao,
HT-1,極泉,Jiquan,Summit Spring,jí quán,geuk cheon 극천,kyoku sen,Cực tuyền,
HT-2,青靈,Qingling,Green Spirit,qīng líng,cheong nyeong 청령,sei rei(?),Thanh linh,
HT-3,少海,Shaohai,Lesser Sea,shào hǎi,so hae 소해,shō kai,Thiếu hải,
HT-4,靈道,Lingdao,Spirit Path,líng dào,young do 영도,rei dō?,Linh đạo,
HT-5,通里,Tongli,Penetrating the Interior,tōng lǐ,tong ni 통리,tsū ri?,Thông lý,
HT-6,陰郄,Yinxi,Yin Cleft,yīn xī,eum geuk 음극,in geki,Âm khích,
HT-7,神門,Shenmen,Spirit Gate,shén mén,sin mun 신문,shin mon,Thần môn,
HT-8,少府,Shaofu,Lesser Palace,shào fǔ,so bu 소부,shō fu?,Thiếu phủ,
HT-9,少沖,Shaochong,Lesser Rushing,shào chōng,so chung 소충,shō shō,Thiếu xung,
SI-1,少澤,Shaoze,Lesser Marsh,shào zé,so taek 소택,shō taku,Thiếu trạch,
SI-2,前谷,Qiangu,Front Valley,qián gǔ,jeon gok 전곡,zen koku(?),Tiền cốc,
SI-3,後谿,Houxi,Back Stream,hòu xī,hu gye 후계,go kei,Hậu khê,'kō kei'[7]
SI-4,腕骨,Wangu,Wrist Bone,wàn gǔ,wan gol 완골,wan kotsu(?),Uyển cốt,
SI-5,陽谷,Yanggu,Yang Valley,yáng gǔ,yang gok 양곡,yō koku,Dương cốc,
SI-6,養老,Yanglao,Support the Aged,yǎng lǎo,yang no 양노,yō rō,Dưỡng lão,
SI-7,支正,Zhizheng,Branch of Upright,zhī zhèng,ji jeong 지정,shi sei(?),Chi chính,
SI-8,小海,Xiaohai,Small Sea,xiǎo hǎi,so hae 소해,shō kai,Tiểu hải,
SI-9,肩貞,Jianzhen,True Shoulder,jiān zhēn,gyeon jeong 견정,ken tei,Kiên trinh,
SI-10,臑俞,Naoshu,Upper arm transporter,nāo shū,no yu(su) 노유(수),ju yu,Nhu du,
SI-11,天宗,Tianzong,Heavenly Gathering,tiān zōng,cheon jong 천종,ten sō,Thiên tông,
SI-12,秉風,Bingfeng,Grasping the Wind,bǐng fēng,byeong pung 병풍,hei fū,Bỉnh phong,
SI-13,曲垣,Quyuan,Crooked Wall,qū yuán,gok won 곡원,kyo ku en?,Khúc viên,
SI-14,肩外俞,Jianwaishu,Outer Shoulder Transporter,jiān wài shū,gyeon oe yu 견외유,ken gai yu(?),Kiên ngoại du,
SI-15,肩中俞,Jianzhongshu,Middle Shoulder Transporter,jiān zhōng shū,gyeon jung yu 견중유,ken chū yu?,Kiên trung du,
SI-16,天窗,Tianchuang,Heavenly Window,tiān chuāng,cheon chang 천창,ten sō?,Thiên song,
SI-17,天容,Tianrong,Heavenly Appearance,tiān róng,cheon yong 천용,ten yō?,Thiên dung,
SI-18,顴髎,Quanliao,Cheek Bone Crevice,quán liáo,gwal lyo 관료,kan ryō,Quyền liêu,
SI-19,聽宮,Tinggong,Palace of Hearing,tīng gōng,cheong gung 청궁,chō kyū,Thính cung,
Bl-1,睛明,Jingming,Bright Eyes,jīng míng,jeong myeong 정명,sei mei,Tình minh,
Bl-2,攢竹,Zanzhu,Gathered Bamboo,cuán zhú,chan juk 찬죽,san chiku,Toản trúc,
Bl-3,眉衝,Meichong,Eyebrows' Pouring,méi chōng,mi chung 미충,bi shō,Mi xung,
Bl-4,曲差,Quchai,Crooked Curve,qǔ chā,gok cha 곡차,kyo kusa?,Khúc sai,
Bl-5,五處,Wuchu,Fifth Place,wǔ chǔ,o cheo 오처,go sho(?),Ngũ xứ,
Bl-6,承光,Chengguang,Receiving Light,chéng guāng,seung gwang 승광,shō kō?,Thừa quang,
Bl-7,通天,Tongtian,Heavenly Connection,tōng tiān,tong cheon 통천,tsū ten,Thông thiên,
Bl-8,絡卻,Luoque,Declining Connection,luò què,nak gak 락각,rak kyaku?,Lạc khước,
Bl-9,玉枕,Yuzhen,Jade Pillow,yù zhěn,ok chim 옥침,gyoku chin(?),Ngọc chẩm,
Bl-10,天柱,Tianzhu,Celestial Pillar,tiān zhù,cheon ju 천주,ten chū,Thiên trụ,
Bl-11,大杼,Dazhu,Great Shuttle,dà zhù,dae jeo 대저,dai jo,Đại trữ,
Bl-12,風門,Fengmen,Wind Gate,fēng mén,pung mun 풍문,fū mon,Phong môn,
Bl-13,肺俞,Feishu,Lung Transporter,fèi shū,pye yu 폐유,hai yu,Phế du,
Bl-14,厥陰俞,Jueyinshu,Jueyin Transporter,jué yīn shū,gweor eum yu 궐음유,ketsu in yu,Quyết âm du,
Bl-15,心俞,Xinshu,Heart Transporter,xīn shū,sim yu 심유,shin yu,Tâm du,
Bl-16,督俞,Dushu,Governor Transporter,dū shū,dok yu 독유,toku yu,Đốc du,
Bl-17,膈俞,Geshu,Diaphragm Transporter,gé shū,gyeok yu 격유,kaku yu,Cách du,
Bl-18,肝俞,Ganshu,Liver Transporter,gān shū,gan yu 간유,kan yu,Can du,
Bl-19,膽俞,Danshu,Gallbladder Transporter,dǎn shū,dam yu 담유,tan yu,Đởm du,
Bl-20,脾俞,Pishu,Spleen Transporter,pí shū,bi yu 비유,hi yu,Tỳ du,
Bl-21,胃俞,Weishu,Stomach Transporter,wèi shū,wi yu 위유,i yu,Vị du,
Bl-22,三焦俞,Sanjiaoshu,Sanjiao Transporter,sān jiāo shū,sam cho yu 삼초유,san shō yu,Tam tiêu du,
Bl-23,腎俞,Shenshu,Kidney Transporter,shèn shū,sim yu 신유,jin yu,Thận du,
Bl-24,氣海俞,Qihaishu,Sea of Qi Transporter,qì hǎi shū,gi hae yu 기해유,kikai yu?,Khí hải du,
Bl-25,大腸俞,Dachangshu,Large Intestine Transporter,dà cháng shū,dae jang yu 대장유,dai chō yu,Đại trường du,
Bl-26,關元俞,Guanyuanshu,Gate of Origin Transporter,guān yuán shū,gwan won yu 관원유,kan gen yu?,Quan nguyên du,
Bl-27,小腸俞,Xiaochangshu,Small Intestine Transporter,xiǎo cháng shū,so jang yu 소장유,shō chō yu,Tiểu trường du,
Bl-28,膀胱俞,Pangguangshu,Bladder Transporter,páng guāng shū,bang wang yu 방광유,bōkō yu,Bàng quang du,
Bl-29,中膂俞,Zhonglushu,Mid-Spine Transporter,zhōng lǚ shū,jung nyeo nae yu 중려내유,chū ryo yu?,Trung lữ du,中膂內俞 zhōng lǚ nèi shù
Bl-30,白環俞,Baihuanshu,White Ring Transporter,bái huán shū,baek hwan yu 백환유,hak kan yu?,Bạch hoàn du,
Bl-31,上髎,Shangliao,Upper Crevice,shàng liáo,sang nyo 상료,jyō ryō?,Thượng liêu,
Bl-32,次髎,Ciliao,Second Crevice,cì liáo,cha ryo 차료,ji ryō,Thứ liêu,
Bl-33,中髎,Zhongliao,Middle Crevice,zhōng liáo,jung nyo 중료,chū ryō?,Trung liêu,
Bl-34,下髎,Xialiao,Lower crevice,xià liáo,ha ryo 하료,ge ryō?,Hạ liêu,
Bl-35,會陽,Huiyang,Meeting of Yang,huì yáng,hoe yang 회양,e yō,Hội dương,
Bl-36,承扶,Chengfu,Hold and Support,chéng fú,seung bu 승부,sho fu(?),Thừa phù,Bl-50
Bl-37,殷門,Yinmen,Gate of Abundance,yīn mén,eun mun 은문,in mon,Ân môn,Bl-51
Bl-38,浮郄,Fuxi,Floating Cleft,fú xī,bu geuk 부극,fu geki(?),Phù khích,Bl-52
Bl-39,委陽,Weiyang,Outside of the Crook,wěi yáng,wi yang 위양,i yō,Ủy dương,Bl-53
Bl-40,委中,Weizhong,Middle of the Crook,wěi zhōng,wi jung 위중,i chū,Ủy trung,Bl-54
Bl-41,附分,Fufen,Attached Branch,fù fēn,bu bun 부분,fu bun(?),Phụ phân,Bl-36
Bl-42,魄戶,Pohu,Door of the Corporeal Soul,pò hù,baek ho 백호,haku ko,Phách hạ,Bl-37
Bl-43,膏肓俞,Gaohuangshu,Vital Region Shu,gāo huāng shū,go hwang [yu] 고황[유],kō kō yu,Cao hoang du,Bl-38
Bl-44,神堂,Shentang,Hall of the Spirit,shén táng,sin dang 신당,shin dō?,Thần đường,Bl-39
Bl-45,譩譆,Yixi,Yi Xi ?,yì xǐ,ui hoe 의회,i ki(?),Y hy,Bl-40
Bl-46,膈關,Geguan,Diaphragm Gate,gé guān,gyeok gwan 격관,kaku kan(?),Cách quan,Bl-41
Bl-47,魂門,Hunmen,Gate of the Ethereal Soul,hún mén,hon mun 혼문,kon mon?,Hồn môn,Bl-42
Bl-48,陽綱,Yanggang,Yang's Key Link,yáng gāng,yang gang 양강,yō kō?,Dương cương,Bl-43
Bl-49,意舍,Yishe,Abode of Consciousness of Potentials,yì shě,ui sa 의사,i sha(?),Ý xá,Bl-44
Bl-50,胃倉,Weicang,Stomach Granary,wèi cāng,wi chang 위창,i sō,Vị thương,Bl-45
Bl-51,肓門,Huangmen,Vitals Gate,huāng mén,hwang mun 황문,kō mon?,Hoang môn,Bl-46
Bl-52,志室,Zhishi,Residence of the Will,zhì shì,ji sil 지실,shi shitsu,Chí thất,Bl-47
Bl-53,胞肓,Baohuang,Bladder's Vitals,bāo huāng,po hwang 포황,hō kō,Bào hoang,Bl-48
Bl-54,秩邊,Zhibian,Order's Limit,zhì biān,jil byeon 질변,chip pen,Trật biên,Bl-49
Bl-55,合陽,Heyang,Confluence of Yang,hé yáng,hap yang 합양,gō yō?,Hợp dương,
Bl-56,承筋,Chengjin,Support the Sinews,chéng jīn,seung geun 승근,shō kin,Thừa cân,
Bl-57,承山,Chengshan,Support the Mountain,chéng shān,seung san 승산,shō zan,Thừa sơn,
Bl-58,飛陽,Feiyang,Soaring Upwards,fēi yáng,bi yang 비양,hi yō,Phi dương,
Bl-59,跗陽,Fuyang,Instep Yang,fū yáng,bu yang 부양,fu yō,Phụ dương,
Bl-60,昆侖; 崑崙[8],Kunlun,Kunlun Mountains,kūn lún,gol lyun 곤륜,kon ron,Côn lôn (luân),
Bl-61,僕參,Pucan,Servant's Respect,pú cān,bok cham 복참,boku shin(?),Bộc tham,
Bl-62,申脈,Shenmai,Extending Vessel,shēn mài,sin maek 신맥,shim myaku,Thân mạch,
Bl-63,金門,Jinmen,Golden Gate,jīn mén,geum mun 금문,kim mon,Kim môn,
Bl-64,京骨,Jinggu,Capital Bone,jīng gǔ,gyeong gol 경골,kei kotsu(?),Kinh cốt,
Bl-65,束骨,Shugu,Restraining Bone,shù gǔ,sok gol 속골,sok kotsu?,Thúc cốt,
Bl-66,足通谷,Zutonggu,Foot Connecting Valley,zú tōng gǔ,[jok] tong gok [족]통곡,ahsi tsū koku?,Thủ thông cốc,
Bl-67,至陰,Zhiyin,Reaching Yin,zhì yīn,ji eum 지음,shi in,Chí âm,
KI-1,涌泉,Yong Quan,Gushing Spring,yǒng quán,yong cheon 용천,yu sen,Dũng tuyền,
KI-2,然谷,Rangu,Nature Valley,rán gǔ,yeon gok 연곡,nen koku,Nhiên cốc,
KI-3,太谿,Taixi,Supreme Stream,taì xī,tae yeon 태계,tai kei,Thái khê,
KI-4,大鐘,Dazhong,Great Bell,dà zhōng,dae jong 대종,dai shō?,Đại chung,
KD-5,水泉,Shuiquan,Water Spring,shuǐ quán,su cheon 수천,sui sen,Thủy tuyền,
KD-6,照海,Zhaohai,Shining Sea,zhào hǎi,joh hae 조해,shō kai,Chiếu hải,
KD-7,復溜,Fuliu,Returning Current,fù liū,bong nyu 복류,fuku ryū,Phục lưu,
KD-8,交信,Jiaoxin,Exchange Belief,jiāo xìn,gyo sin 교신,kō shin?,Giao tín,
KD-9,築賓,Zhubin,Guest House,zhú bīn,chuk bin 축빈,chiku hin,Trúc tân,
KD-10,陰谷,Yingu,Yin Valley,yīn gǔ,eum gok 음곡,in koku,Âm cốc,
KD-11,橫骨,Henggu,Pubic Bone,héng gǔ,hoeng gol 횡골,ō kotsu,Hoành cốt,
KD-12,大赫,Dahe,Great Luminance,dà hè,dae hyeok 대혁,tai kaku,Đại hách,
KD-13,氣穴,Qixue,Qi Cave,qì xué,gi hyeol 기혈,ki ketsu,Khí huyệt,
KD-14,四滿,Siman,Four Fullnesses,sì mǎn,sa man 사만,shi man,Tứ mãn,
KD-15,中注,Zhongzhu,Middle Flow,zhōng zhù,jung ju 중주,chū chū,Trung chú,
KD-16,肓俞,Huangshu,Vitals Transporter,huāng shū,hwang yu 황유,kō yu,Hoang du,
KD-17,商曲,Shangqu,Shang Bend,shāng qū,sang gok 상곡,shō kyoku,Thương khúc,
KD-18,石關,Shiguan,Stone Pass,shí guān,seok gwan 석관,seki kan,Thạch quan,
KD-19,陰都,Yindu,Yin Metropolis,yīn dū,eum do 음도,in to,Âm đô,
KD-20,腹通谷,Futonggu,Abdomen Connecting Valley,fù tōng gǔ,tong gok 통곡,hara no tsū koku,(Phúc) Thông cốc,
KD-21,幽門,Youmen,Hidden Gate,yōu mén,yu mun 유문,yū mon,U môn,
KD-22,步廊,Bulang,Walking Corridor,bù láng,bo rang 보랑,hō ro?,Bộ lang,
KD-23,神封,Shenfeng,Spirit Seal,shén fēng,sin bong 신봉,shim pō,Thần phong,
KD-24,靈墟,Lingxu,Spirit Ruin,líng xū,yeong heo 영허,rei kyo(?),Linh khâu,
KD-25,神藏,Shencang,Spirit Storehouse,shén cáng,sin jang 신장,shin zō,Thần tàng,
KD-26,彧中[a],Yuzhong,Comfortable Chest,yù zhōng,uk jung 욱중,waku chū,Hoắc trung,
KD-27,俞府,Shufu,Shu Mansion,shū fǔ,yu bu 유부,yu fu,Du phủ ,
PC-1,天池,Tianchi,Heavenly Pool,tiān chí,cheon ji 천지,ten chi,Thiên trì,
PC-2,天泉,Tianquan,Heavenly Spring,tiān quán,cheon cheon 천천,ten sen(?),Thiên tuyền,
PC-3,曲澤,Quze,Marsh at the Crook,qū zé,gok taek 곡택,kyoku taku(?),Khúc trạch,
PC-4,郄門,Ximen,Xi-Cleft Gate,xī mén,geung mun 극문,geki mon,Khích môn,
PC-5,間使,Jianshi,Intermediate Messenger,jiān shǐ,gan sa 간사,kan shi(?),Giản sử,
PC-6,內關,Neiguan,Inner Pass,nèi guān,nae gwan 내관,nai kan,Nội quan,
PC-7,大陵,Daling,Great Mound,dà líng,dae reung 대릉,dai ryō,Đại lăng,'tai ryō'
PC-8,勞宮,Laogong,Palace of Toil,láo gōng,no gung 노궁,rō kyū,Lao cung,
PC-9,中衝,Zhongchong,Middle Rushing,zhōng chōng,jung chung 중충,chū shō,Trung xung,
TE-1,關衝,Guanchong,Rushing Pass,guān chōng,gwan chung 관충,kan shō,Quan xung,
TE-2,液門,Yemen,Fluid Gate,yè mén,aeng mun 액문,eki mon(?),DỊch môn,
TE-3,中渚,Zhongzhu,Central Islet,zhōng zhǔ,jung jeo 중저,chū sho,Trung chử,
TE-4,陽池,Yangchi,Yang Pool,yáng chí,yang ji 양지,yō chi?,Dương trì,
TE-5,外關,Waiguan,Outer Pass,wài guān,oe gwan 외관,gai kan,Ngoại quan,
TE-6,支溝,Zhigou,Branch Ditch,zhī gōu,ji gu 지구,shi kō?,Chi câu,
TE-7,會宗,Huizong,Ancestral Meeting,huì zōng,hui jung 회종,e sō,Hội tông,
TE-8,三陽絡,Sanyangluo,Three Yang Meeting,sān yáng luò,sam yang nak 삼양락,san kyō raku?,Tam dương lạc,
TE-9,四瀆,Sidu,Four Rivers,sì dú,sa dok 사독,shi toku,Tứ độc,
TE-10,天井,Tianjing,Heavenly Well,tiān jǐng,cheon jeong 천정,ten sei(?),Thiên tỉnh,TW 10
TE-11,清冷淵,Qinglengyuan,Clear Cold Abyss,qīng lěng yuān,cheong naeng yeon 청랭연,sei rei en?,Thanh lãng uyên,
TE-12,消濼,Xiaoluo,Dispersing Luo River,xiāo luò,so rak 소락,shō reki?,Tiêu lạc,
TE-13,臑會,Naohui,Upper Arm Meeting,nào huì,noe hui 뇌회,ju e,Nhu hội,
TE-14,肩髎,Jianliao,Shoulder Crevice,jiān liáo,gyeol lyo 견료,ken ryō,Kiên liêu,
TE-15,天髎,Tianliao,Heavenly Crevice,tiān liáo,cheol lyo 천료,ten ryō,Thiên liêu,
TE-16,天牖,Tianyou,Window of Heaven,tiān yǒu,cheon yong 천용,ten yū?,Thiên dũ,
TE-17,翳風,Yifeng,Wind Screen,yì fēng,ye pung 예풍,ei fū,Ế phong,
TE-18,契脈,Qimai[b],Spasm Vessel,qì mài,gye maek 계맥,kei myaku(?),Khế mạch,
TE-19,顱息,Luxi,Skull's Rest,lú xī,no sik 노식,ro soku(?),Lư tức,
TE-20,角孫,Jiaosun,Minute Angle,jiǎo sūn,gak son 각손,kaku son,Giác tôn,
TE-21,耳門,Ermen,Ear Gate,ěr mén,i mun 이문,ji mon(?),Nhĩ môn,
TE-22,耳和髎,Erheliao,Ear Harmony Crevice,ěr hé liáo,hwa ryo 화료,ji wa ryō?,(Nhĩ) Hòa liêu,
TE-23,絲竹空,Sizhukong,Silken Bamboo Hollow,sī zhú kōng,sa juk gong 사죽공,shi chiku kū,Ti trúc không,
GB-1,瞳子髎,Tongziliao,Pupil Crevice,tóng zǐ liáo,dong ja ryo 동자료,dō shi ryō,Đồng tử liêu,
GB-2,聽會,Tinghui,Meeting of Hearing,tīng huì,cheong hoe 청회,chō e,Thính hội,
GB-3,上關[c],Shangguan,Above the Joint,shàng guān,sang gwan 상관/gaek ju in 객주인,kyaku shu jin,Thượng quan,
